"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","question_order","word","rt_total","sentence","condition","correct_response","question_response","correct","part","id","task","color","position","target","probe","target_position","probe_position","target_freq","probe_freq","target_root","probe_root","target_rootfreq","probet_rootfreq","target_gloss","probe_gloss"
"html-keyboard-response","10","33846","0.0-7.0-2.0","3Ul36","","150","","","","","","","","","","<p>Correct!</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"self-paced-reading","11","40733","0.0-7.0-0.1","3Ul36","","[235,185,187,176,180,191,204,179,221,190,205,209,201,220,193,193,199,210,201,197,206,196,199,195,187,201,174,190,191,358,212,206,205,185]","","","","","","","","","","","","","[null,"""",""الناس"",""جميعا"",""سواء"",""أمام"",""القانون،"",""وهم"",""يتساوون"",""في"",""حق"",""التمتع"",""بحماية"",""القانون"",""دونما"",""تمييز،"",""كما"",""يتساوون"",""في"",""حق"",""التمتع"",""بالحماية"",""من"",""أي"",""تمييز"",""ينتهك"",""هذا"",""الإعلان"",""ومن"",""أي"",""تحريض"",""على"",""مثل"",""هذا""]","[235,420,607,783,963,1154,1358,1537,1758,1948,2153,2362,2563,2783,2976,3169,3368,3578,3779,3976,4182,4378,4577,4772,4959,5160,5334,5524,5715,6073,6285,6491,6696,6881]"," الناس جميعا سواء أمام القانون، وهم يتساوون في حق التمتع بحماية القانون دونما تمييز، كما يتساوون في حق التمتع بالحماية من أي تمييز ينتهك هذا الإعلان ومن أي تحريض على مثل هذا التمييز.","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","12","41714","0.0-7.0-1.1","3Ul36","","979","","","","","","","","","","<div style=""font-size: 24px;"">هل الناس جميعا يتساوون أمام القانون ؟</div>","0","","","","","self_paced_reading","0","true","true","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","41912","0.0-7.0-2.1","3Ul36","","195","","","","","","","","","","<p>Correct!</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","42163","0.0-8.0","3Ul36","","248","","","","","","","","","","<p>A passage will be presented on the screen, and your task is to read it at a comfortable pace.</p><p>Once you've finished reading, additional instructions or questions may follow.</p><p>Press any key to begin.</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","43330","0.0-9.0-0.0","3Ul36","","1165","","","","","","","","","","<div style='font-size: 32px;'> .يعمل الإنسان على استغلال موارد الطبيعة لبناء تقدمه وحضارته، إلا أن استغلاله المفرط لهذه الموارد يتم بطرق خاطئة الأمر الذي أدى إلى اختلال التوازن البيئي، وأضر البيئة بشكل عام، فأصبحت ضعيفة هشة لا تستطيع الوفاء بمتطلباته. وقد دأبت دول كثيرة تعتمد على الزراعة كمصدر للدخل إلى التركيز على زراعة الأرض أكثر من مرة في السنة الواحدة، مما أدى إلى إجهاد تربتها، إضافة إلى إزالة أجزاء كبيرة من الغابات التي تعتبر مأوى الحياة البرية فأضر ذلك بها وقلل من أعدادها بدرجة كبيرة</div><p style='font-style: italic;'>Press enter when you're done reading</p>","enter","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","16","44306","0.0-9.0-1.0","3Ul36","","972","","","","","","","","","","<p style='font-size: 24px;'>هل زراعة الأرض أكثر من مرة في السنة الواحدة تقوي التربة؟</p>","0","","","","","natural reading","1","false","false","practice","4","","","","","","","","","","","","","","",""
"html-keyboard-response","17","44571","0.0-9.0-2.0","3Ul36","","263","","","","","","","","","","<p>Incorrect.</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","18","44939","0.0-10.0","3Ul36","","365","","","","","","","","","","<p>You're done with the Arabic reading assessment and ready to begin the experiment.</p>
             <p>Press any key to read the instructions.</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","45397","0.0-11.0","3Ul36","","455","","","","","","","","","","
            <p><b>Instructions:</b></p>
            <p>Each trial will start with a group of hash marks (######) followed by a word that will appear briefly in the center of the screen.</p>
            <p>Your task is to quickly determine the <strong>position</strong> where the word is printed.</p>
            <p>Press <strong>A</strong> if the word is on the left, and <strong>L</strong> if it's on the right.</p>
            <p>React as fast as you can! Press any key to start the practice round.</p>
              "," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","20","48297","0.0-12.0-0.0","3Ul36","","null","","","","","","","","","","<div style=""font-size:60px;"">#####</div>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","21","48367","0.0-12.0-1.0","3Ul36","","null","","","","","","","","","","<p style=""font-size:60px; font-family: Arial;"">
    تعليب</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","48400","0.0-12.0-2.0","3Ul36","","null","","","","","","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","48402","0.0-12.0-3.0","3Ul36","","null","","","","","","","","","","<div style=""font-size:60px;"">#####</div>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","24","53406","0.0-12.0-4.0","3Ul36","","null","","","","","","","","","","
            <div style=""position: absolute; bottom: 200px; text-align: center; font-size:60px; right: 200px;"">تعليب</div>
            <div style=""position: absolute; bottom: 200px; text-align: center; font-size:60px; left: 200px;"">تغليب</div>
            <div style=""font-size:60px;"">#####</div>
        ","null","","","","","","تعليب","","false","","","response","black","XDots","تعليب","تغليب","Right","Left","7","","ع.ل.ب","غ.ل.ب","361","4881","canning","preference#granting_victory"
"html-keyboard-response","25","54409","0.0-12.0-5.0","3Ul36","","null","","","","","","","","","","<p>No response entered.</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","55310","0.0-12.0-0.1","3Ul36","","null","","","","","","","","","","<div style=""font-size:60px;"">#####</div>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","27","55378","0.0-12.0-1.1","3Ul36","","null","","","","","","","","","","<p style=""font-size:60px; font-family: Arial;"">
    طباعة</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","28","55409","0.0-12.0-2.1","3Ul36","","null","","","","","","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","55414","0.0-12.0-3.1","3Ul36","","null","","","","","","","","","","<div style=""font-size:60px;"">#####</div>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
