"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","question_order","word","rt_total","sentence","condition","correct_response","question_response","correct","part","id","task","color","position","target","probe","target_position","probe_position","target_freq","probe_freq","target_root","probe_root","target_rootfreq","probet_rootfreq","target_gloss","probe_gloss"
"html-button-response","12","134473","0.0-7.0-1.1","OEPaU","","873","","","","","","","","","","<div style=""font-size: 24px;"">هل الناس جميعا يتساوون أمام القانون ؟</div>","0","","","","","self_paced_reading","0","true","true","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","134612","0.0-7.0-2.1","OEPaU","","137","","","","","","","","","","<p>Correct!</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","135504","0.0-8.0","OEPaU","","890","","","","","","","","","","<p>A passage will be presented on the screen, and your task is to read it at a comfortable pace.</p><p>Once you've finished reading, additional instructions or questions may follow.</p><p>Press any key to begin.</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","136212","0.0-9.0-0.0","OEPaU","","706","","","","","","","","","","<div style='font-size: 32px;'> .يعمل الإنسان على استغلال موارد الطبيعة لبناء تقدمه وحضارته، إلا أن استغلاله المفرط لهذه الموارد يتم بطرق خاطئة الأمر الذي أدى إلى اختلال التوازن البيئي، وأضر البيئة بشكل عام، فأصبحت ضعيفة هشة لا تستطيع الوفاء بمتطلباته. وقد دأبت دول كثيرة تعتمد على الزراعة كمصدر للدخل إلى التركيز على زراعة الأرض أكثر من مرة في السنة الواحدة، مما أدى إلى إجهاد تربتها، إضافة إلى إزالة أجزاء كبيرة من الغابات التي تعتبر مأوى الحياة البرية فأضر ذلك بها وقلل من أعدادها بدرجة كبيرة</div><p style='font-style: italic;'>Press enter when you're done reading</p>","enter","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","16","137369","0.0-9.0-1.0","OEPaU","","1154","","","","","","","","","","<p style='font-size: 24px;'>هل زراعة الأرض أكثر من مرة في السنة الواحدة تقوي التربة؟</p>","1","","","","","natural reading","1","true","true","practice","4","","","","","","","","","","","","","","",""
"html-keyboard-response","17","137764","0.0-9.0-2.0","OEPaU","","393","","","","","","","","","","<p>Correct!</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","18","138197","0.0-10.0","OEPaU","","431","","","","","","","","","","<p>You're done with the Arabic reading assessment and ready to begin the experiment.</p>
             <p>Press any key to read the instructions.</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","138615","0.0-11.0","OEPaU","","415","","","","","","","","","","
            <p><b>Instructions:</b></p>
            <p>Each trial will start with a group of hash marks (######) followed by a word that will appear briefly in the center of the screen.</p>
            <p>Your task is to quickly determine the <strong>position</strong> where the word is printed.</p>
            <p>Press <strong>A</strong> if the word is on the left, and <strong>L</strong> if it's on the right.</p>
            <p>React as fast as you can! Press any key to start the practice round.</p>
              "," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","20","141513","0.0-12.0-0.0","OEPaU","","null","","","","","","","","","","<div style=""font-size:60px;"">#####</div>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","21","141583","0.0-12.0-1.0","OEPaU","","null","","","","","","","","","","<p style=""font-size:60px; font-family: Arial;"">
    تناقص</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","141616","0.0-12.0-2.0","OEPaU","","null","","","","","","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","141618","0.0-12.0-3.0","OEPaU","","null","","","","","","","","","","<div style=""font-size:60px;"">#####</div>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","24","146621","0.0-12.0-4.0","OEPaU","","null","","","","","","","","","","
            <div style=""position: absolute; bottom: 200px; text-align: center; font-size:60px; right: 200px;"">تناقص</div>
            <div style=""position: absolute; bottom: 200px; text-align: center; font-size:60px; left: 200px;"">تناقض</div>
            <div style=""font-size:60px;"">#####</div>
        ","null","","","","","","تناقص","","false","","","response","black","XDots","تناقص","تناقض","Right","Left","13","","ن.ق.ص","ن.ق.ض","1190","957","decrease#diminution#decrease_gradually","contradict_each_other#be_inconsistent#inconsistency#incompatibility#conflict"
"html-keyboard-response","25","147624","0.0-12.0-5.0","OEPaU","","null","","","","","","","","","","<p>No response entered.</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","148521","0.0-12.0-0.1","OEPaU","","null","","","","","","","","","","<div style=""font-size:60px;"">#####</div>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","27","148589","0.0-12.0-1.1","OEPaU","","null","","","","","","","","","","<p style=""font-size:60px; font-family: Arial;"">
    مشكور</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","28","148621","0.0-12.0-2.1","OEPaU","","null","","","","","","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","150144","0.0-12.0-3.1","OEPaU","","null","","","","","","","","","","<div style=""font-size:60px;"">#####</div>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","30","156216","0.0-12.0-4.1","OEPaU","","null","","","","","","","","","","
            <div style=""position: absolute; bottom: 200px; text-align: center; font-size:60px; left: 200px;"">مشكور</div>
            <div style=""position: absolute; bottom: 200px; text-align: center; font-size:60px; right: 200px;"">مشهور</div>
            <div style=""font-size:60px;"">#####</div>
        ","null","","","","","","مشكور","","false","","","response","black","X3","مشكور","مشهور","Left","Right","47","","ش.ك.ر","ش.ه.ر","2380","8618","praiseworthy#deserving_thanks","Mashour#celebrities#luminaries#famous#well-known"
"html-keyboard-response","31","161558","0.0-12.0-5.1","OEPaU","","null","","","","","","","","","","<p>No response entered.</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","171256","0.0-12.0-0.2","OEPaU","","null","","","","","","","","","","<div style=""font-size:60px;"">#####</div>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","33","173749","0.0-12.0-1.2","OEPaU","","null","","","","","","","","","","<p style=""font-size:60px; font-family: Arial;"">
    تقليد</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","34","173780","0.0-12.0-2.2","OEPaU","","null","","","","","","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","173786","0.0-12.0-3.2","OEPaU","","null","","","","","","","","","","<div style=""font-size:60px;"">#####</div>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","36","178787","0.0-12.0-4.2","OEPaU","","null","","","","","","","","","","
            <div style=""position: absolute; bottom: 200px; text-align: center; font-size:60px; right: 200px;"">تقليد</div>
            <div style=""position: absolute; bottom: 200px; text-align: center; font-size:60px; left: 200px;"">تقليل</div>
            <div style=""font-size:60px;"">#####</div>
        ","null","","","","","","تقليد","","false","","","response","black","X5","تقليد","تقليل","Right","Left","563","","ق.ل.د","ق.ل.ل","1824","12613","imitation#tradition#custom#traditions#customs","decrease#diminution#reduction"
"html-keyboard-response","37","181592","0.0-12.0-5.2","OEPaU","","null","","","","","","","","","","<p>No response entered.</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","38","183280","0.0-12.0-0.3","OEPaU","","null","","","","","","","","","","<div style=""font-size:60px;"">#####</div>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","39","187288","0.0-12.0-1.3","OEPaU","","null","","","","","","","","","","<p style=""font-size:60px; font-family: Arial;"">
    متكرر</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","40","194089","0.0-12.0-2.3","OEPaU","","null","","","","","","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","41","198710","0.0-12.0-3.3","OEPaU","","null","","","","","","","","","","<div style=""font-size:60px;"">#####</div>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","42","214741","0.0-12.0-4.3","OEPaU","","null","","","","","","","","","","
            <div style=""position: absolute; bottom: 200px; text-align: center; font-size:60px; right: 200px;"">متكرر</div>
            <div style=""position: absolute; bottom: 200px; text-align: center; font-size:60px; left: 200px;"">متكبر</div>
            <div style=""font-size:60px;"">#####</div>
        ","null","","","","","","متكرر","","false","","","response","black","X4","متكرر","متكبر","Right","Left","207","","ك.ر.ر","ك.ب.ر","1829","17688","repeated#frequent#recurring","arrogant"
"html-keyboard-response","43","239646","0.0-12.0-5.3","OEPaU","","null","","","","","","","","","","<p>No response entered.</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","44","271712","0.0-12.0-0.4","OEPaU","","null","","","","","","","","","","<div style=""font-size:60px;"">#####</div>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","45","313045","0.0-12.0-1.4","OEPaU","","null","","","","","","","","","","<p style=""font-size:60px; font-family: Arial;"">
    تنادر</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","46","388449","0.0-12.0-2.4","OEPaU","","null","","","","","","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","47","554239","0.0-12.0-3.4","OEPaU","","null","","","","","","","","","","<div style=""font-size:60px;"">#####</div>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","48","686924","0.0-12.0-4.4","OEPaU","","null","","","","","","","","","","
            <div style=""position: absolute; bottom: 200px; text-align: center; font-size:60px; right: 200px;"">تنادر</div>
            <div style=""position: absolute; bottom: 200px; text-align: center; font-size:60px; left: 200px;"">تبادر</div>
            <div style=""font-size:60px;"">#####</div>
        ","null","","","","","","تنادر","","false","","","response","black","XDots","تنادر","تبادر","Right","Left","4","","ن.د.ر","ب.د.ر","1403","3139","joking#jesting#tell_stories#tell_jokes","come_first"
